id,Year,ECP,PAX,Flights,RPM,ASM,Load Facor
1,2010,"1,727,514",4182899,46950,3220616,4056069,79.40%
2,2011,"1,780,679",4419439,47704,3487706,4259677,81.88%
3,2012,"1,834,861",4581086,48559,3688571,4427145,83.32%
4,2013,"1,883,749",4863741,50555,4138238,4944884,83.69%
5,2014,"1,943,017",5133784,51181,4392378,5234736,83.91%
6,2015,"2,002,814",5663267,54148,4863963,5864328,82.94%
7,2016,"2,062,808",5949549,54800,5359535,6332008,84.64%
8,2017,"2,115,999",6636812,58522,6097274,7275881,83.80%
9,2018,"2,166,805",7498794,64296,7059553,8484146,83.21%
10,2019,"2,228,106",8239861,67047,7791382,9165220,85.01%
11,2020,"2,295,303",3097244,36881,2783287,4878109,57.06%
12,2021,,6537961,60706,6326015,8309578,76.13%
