id,Year,ECP,Load Factor,Flights,PAX,ASM,RPM
1,2010,1650887,78.00%,63002,4398469,3988032,3110510
2,2011,1674830,80.63%,63469,4638282,4003491,3228141
3,2012,1704175,79.41%,63868,4763328,4067119,3229758
4,2013,1735823,78.71%,65431,5010069,4456534,3507889
5,2014,1769402,81.66%,63061,5349027,4571147,3732716
6,2015,1805988,82.65%,62728,5659445,4785093,3954695
7,2016,1843004,83.08%,68293,6263181,5480662,4553385
8,2017,1876449,82.59%,71912,6795825,6101500,5038930
9,2018,1906794,82.35%,77089,7667008,6919336,5697942
10,2019,1933455,82.79%,85202,8769667,7913357,6551514
11,2020,1961232,53.94%,58223,3982134,5456809,2943298
12,2021,,77.22%,76248,7546898,7454049,5756188
