id,Year,ECP,Flights,PAX,ASM,RPM,Load Factor
1,2010,309327143,8699893,629537424,672470670,552853926,82.21%
2,2011,311583481,8647261,638247232,680085181,563646992,82.88%
3,2012,313877662,8444837,642288387,682046851,568682397,83.38%
4,2013,316059947,8322760,645677274,692220161,577888473,83.48%
5,2014,318386329,8106554,662824549,704434178,595338639,84.51%
6,2015,320738994,8059689,696010768,741893859,630657922,85.01%
7,2016,323071755,8183844,719989360,780086185,659977446,84.60%
8,2017,325122128,8176047,741727977,808381586,683749842,84.58%
9,2018,326838199,8398404,777962880,853366587,720817791,84.47%
10,2019,328329953,8594869,811471767,884433418,752757776,85.11%
11,2020,329484123,5168671,335566895,515404247,303562062,58.90%
12,2021,,6758224,605923673,736107158,571838746,77.68%
